Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
car and limousine service,2,2,260,46,2.51,https://www.primelimo.com/,11,0.12,27.00,0.62,157,"28, 35, 66, 100, 100, 35, 44, 35, 66, 35, 35, 28",2026-05-22,"Local pack, Video, People also ask, Related searches",commercial,Organic
limousine rental fort worth,1,1,140,38,1.86,https://www.primelimo.com/,11,0.12,20.00,0.64,105,"35, 17, 35, 100, 28, 35, 35, 35, 43, 28, 23, 28",2026-05-13,"Local pack, Sitelinks, Video, Image",commercial,Local pack
limousine service fort worth,1,1,140,39,2.43,https://www.primelimo.com/,11,0.12,26.00,0.62,4340000,"29, 14, 4, 18, 18, 100, 54, 18, 18, 18, 18, 22",2026-04-10,"Local pack, Sitelinks, Related searches",commercial,Local pack
wedding limos in dallas,1,1,90,11,0.00,https://www.primelimo.com/,11,0.12,0.00,0.33,112,"29, 29, 29, 29, 41, 29, 82, 100, 64, 64, 64, 100",2026-04-20,"Local pack, Image, Related searches",commercial,Local pack
prom car services,1,1,40,6,0.00,https://www.primelimo.com/,9,0.1,0.00,0.29,105,"22, 22, 22, 33, 33, 22, 100, 100, 44, 44, 22, 11",2026-05-08,"Local pack, Video, Image, People also ask, Related searches",commercial,Local pack
airport limousine dallas,1,1,40,25,0.00,https://www.primelimo.com/,9,0.1,0.00,0.04,113,"18, 27, 36, 27, 27, 27, 45, 81, 27, 18, 18, 81",2026-04-27,"Local pack, Sitelinks, Image, People also ask, Related searches",commercial,Local pack
wedding limo dallas,1,1,40,6,0.00,https://www.primelimo.com/,9,0.1,0.00,0.79,1140000,"100, 100, 42, 28, 28, 28, 57, 71, 28, 28, 42, 100",2026-04-16,"Local pack, Video, Image, Related searches",commercial,Local pack
airport limo dallas,1,1,70,29,0.00,https://www.primelimo.com/,9,0.1,0.00,0.04,620000,"14, 35, 28, 35, 28, 28, 50, 78, 50, 50, 50, 100",2026-04-27,"Local pack, Sitelinks, Image, People also ask, Related searches",commercial,Local pack
limousine rental dallas,10,10,260,59,2.25,https://www.primelimo.com/,9,0.1,20.00,0.84,111,"100, 81, 66, 81, 43, 8, 35, 29, 43, 22, 18, 54",2026-05-08,"Knowledge panel, Sitelinks, Image, Related searches",transactional,Knowledge panel
car service in dallas,1,1,40,21,4.16,https://www.primelimo.com/,9,0.1,37.00,0.9,115,"42, 9, 14, 14, 9, 9, 42, 42, 19, 19, 4, 14",2026-05-26,"Local pack, Video, Ads bottom, Related searches",commercial,Local pack
limo service in university park tx,1,1,40,23,0.00,https://www.primelimo.com/,9,0.1,0.00,0,2200000,"60, 80, 100, 80",2026-04-17,"Local pack, Sitelinks, Video, People also ask, Related searches",commercial,Local pack
dallas limousine services,1,1,40,53,3.05,https://www.primelimo.com/,9,0.1,27.00,0.8,112,"65, 3, 3, 3, 53, 3, 15, 26, 3, 3, 3, 7",2026-05-15,"Local pack, Sitelinks, Video, People also ask, Related searches",commercial,Local pack
car and limousine services,2,2,110,59,2.51,https://www.primelimo.com/,9,0.1,22.00,0.62,164,"29, 41, 82, 64, 100, 23, 41, 82, 100, 64, 41, 29",2026-04-10,"Local pack, Sitelinks, Video, Related searches",commercial,Organic
private car service dallas,1,1,40,27,3.70,https://www.primelimo.com/,9,0.1,33.00,0.94,160000000,"14, 9, 9, 9, 9, 9, 33, 52, 14, 52, 14, 9",2026-05-04,"Local pack, Image, People also ask, Related searches, Discussions and forums",commercial,Local pack
limo service dallas ft worth,1,1,140,53,3.02,https://www.primelimo.com/,9,0.1,27.00,0.42,1760000,"28, 21, 28, 28, 53, 100, 53, 34, 81, 53, 15, 28",2026-04-10,"Local pack, Sitelinks, Image, Related searches",commercial,Organic
limo dallas texas,1,1,40,53,2.73,https://www.primelimo.com/,9,0.1,24.00,0.66,113,"45, 63, 18, 18, 27, 18, 36, 45, 63, 27, 45, 18",2026-04-28,"Local pack, Sitelinks, Video, Image, Related searches",commercial,Local pack
limo service in dallas tx,1,1,40,52,3.05,https://www.primelimo.com/,9,0.1,27.00,0.8,117,"23, 4, 80, 4, 9, 4, 14, 14, 9, 9, 9, 19",2026-05-17,"Local pack, Sitelinks, Related searches",commercial,Local pack
dallas airport limos,1,1,40,18,0.00,https://www.primelimo.com/,9,0.1,0.00,0.09,8090000,"14, 42, 57, 57, 71, 57, 100, 100, 57, 28, 14, 14",2026-05-08,"Local pack, Sitelinks, Image, Related searches",commercial,Local pack
suv limo service near me,1,1,40,53,1.95,https://www.primelimo.com/,9,0.1,17.00,0.81,4150000,"64, 64, 17, 11, 11, 11, 11, 11, 11, 11, 11, 11",2026-05-05,"Local pack, Sitelinks, Related searches",transactional,Local pack
dallas car service,5,5,390,25,4.16,https://www.primelimo.com/,9,0.1,37.00,0.9,413000000,"55, 36, 67, 36, 13, 36, 20, 30, 13, 13, 8, 24",2026-04-11,"Local pack, Related searches",commercial,Organic
transportation services dallas,1,1,70,49,4.06,https://www.primelimo.com/,9,0.1,36.00,0.73,125,"64, 28, 35, 50, 64, 50, 64, 78, 78, 50, 50, 28",2026-04-10,"Local pack, Sitelinks, Video, Related searches",commercial,Local pack
limo dallas fort worth,1,1,110,55,3.40,https://www.primelimo.com/,9,0.1,30.00,0.6,1350000,"34, 34, 21, 65, 34, 28, 21, 28, 28, 34, 28, 34",2026-04-10,"Local pack, Sitelinks, Image, Related searches, AI overview",informational,Local pack
limo service dfw,1,1,70,58,3.22,https://www.primelimo.com/,9,0.1,28.00,0.74,280000,"42, 42, 52, 42, 42, 33, 33, 33, 33, 19, 23, 23",2026-04-14,"Local pack, Sitelinks, Video, Image, Related searches",commercial,Local pack
chauffeur service dallas tx,1,1,40,19,4.16,https://www.primelimo.com/,9,0.1,37.00,0.9,390000,"0, 0, 9, 14, 23, 19, 23, 33, 19, 33, 19, 19",2026-04-18,"Local pack, Sitelinks, Video, Image, Related searches",commercial,Local pack
limo service in dfw,1,1,70,54,3.02,https://www.primelimo.com/,9,0.1,27.00,0.42,106,"21, 50, 50, 100, 28, 35, 50, 64, 64, 78, 50, 78",2026-04-09,"Local pack, Sitelinks, Image, Related searches",commercial,Local pack
limo service dallas tx,10,10,320,63,3.05,https://www.primelimo.com/,9,0.1,27.00,0.8,683000,"36, 36, 55, 10, 30, 16, 24, 10, 13, 16, 8, 24",2026-05-03,"Knowledge panel, Sitelinks, Related searches, Discussions and forums",informational,Knowledge panel
prime limo and car service,10,10,260,36,1.58,https://www.primelimo.com/,8,0.09,12.00,0.14,105,"9, 7, 4, 7, 48, 14, 39, 14, 9, 17, 21, 100",2026-05-22,"Knowledge panel, Sitelinks, Related searches",navigational,Knowledge panel
car limo,1,1,210,73,2.07,https://www.primelimo.com/,8,0.09,16.00,0.32,89700000,"5, 8, 4, 7, 3, 7, 13, 3, 3, 30, 3, 2",2026-05-04,"Local pack, Image pack, Video, Image, People also ask, Related searches",commercial,Image pack
limo rental dallas fort worth,1,1,30,51,2.01,https://www.primelimo.com/,7,0.08,14.00,0.78,1280000,"18, 18, 100, 18, 18, 18, 36, 45, 18, 18, 27, 27",2026-04-10,"Local pack, Sitelinks, Video, Image, Related searches",commercial,Local pack
limousine dallas texas,1,1,30,51,2.73,https://www.primelimo.com/,7,0.08,19.00,0.66,112,"9, 0, 9, 0, 9, 9, 45, 45, 36, 36, 36, 36",2026-04-18,"Local pack, Sitelinks, Video, Image, Related searches",commercial,Local pack
dallas chauffeur,1,1,30,33,2.28,https://www.primelimo.com/,7,0.08,15.00,0.86,1860000,"28, 100, 71, 100, 28, 28, 28, 42, 28, 28, 28, 57",2026-04-10,"Local pack, Sitelinks, Video, Related searches",commercial,Local pack
wedding transportation dallas tx,1,1,30,12,4.58,https://www.primelimo.com/,7,0.08,32.00,0.37,2960000,"28, 100, 57, 42, 28, 28, 28, 28, 28, 28, 28, 28",2026-04-09,"Local pack, Video, Image, Related searches",commercial,Local pack
limo service plano tx,1,1,30,3,2.54,https://www.primelimo.com/,7,0.08,17.00,0.49,146000,"19, 9, 9, 4, 4, 9, 23, 23, 9, 14, 14, 19",2026-05-01,"Local pack, Sitelinks, Video, Image, People also ask, Related searches",commercial,Local pack
limos in texas,1,1,30,45,2.24,https://www.primelimo.com/,7,0.08,15.00,0.26,2290000,"26, 26, 26, 7, 26, 7, 7, 7, 7, 7, 7, 7",2026-04-26,"Local pack, Image pack, Video, Image, People also ask, Related searches",commercial,Local pack
chauffeur service dallas,4,4,390,34,4.16,https://www.primelimo.com/,7,0.08,29.00,0.9,108,"39, 72, 39, 32, 88, 32, 21, 26, 26, 21, 21, 21",2026-05-25,"Local pack, Sitelinks, Video, People also ask, Related searches",commercial,Organic
limo service in dallas,1,1,110,16,3.05,https://www.primelimo.com/,7,0.08,21.00,0.8,2170000,"11, 15, 81, 15, 6, 8, 18, 18, 28, 11, 11, 8",2026-04-09,"Local pack, Sitelinks, Video, Related searches",commercial,Organic
professional limo,5,5,320,44,1.83,https://www.primelimo.com/,7,0.08,12.00,0.16,226,"45, 20, 20, 8, 45, 67, 55, 3, 10, 8, 5, 13",2026-05-29,"Local pack, Image pack, Video, Image, Ads bottom, People also ask, Related searches",commercial,Organic
dallas limousine rental,1,1,30,51,2.25,https://www.primelimo.com/,7,0.08,15.00,0.84,117,"3, 3, 42, 3, 3, 3, 11, 15, 11, 15, 15, 15",2026-05-17,"Local pack, Sitelinks, Video, Related searches",commercial,Local pack
car service plano tx,1,1,30,13,2.58,https://www.primelimo.com/,7,0.08,18.00,0.88,106,"28, 28, 28, 28, 28, 28, 71, 100, 57, 57, 42, 42",2026-05-01,"Local pack, Image, Related searches",commercial,Local pack
dfw limousine service,4,4,260,59,3.02,https://www.primelimo.com/,7,0.08,21.00,0.42,151000,"43, 66, 100, 54, 43, 54, 43, 54, 66, 43, 43, 54",2026-05-03,"Local pack, Sitelinks, Image, Related searches",commercial,Organic
limo services dallas texas,1,1,30,39,3.05,https://www.primelimo.com/,7,0.08,21.00,0.8,108,"7, 0, 21, 21, 28, 28, 28, 50, 14, 7, 21, 21",2026-05-27,"Local pack, Sitelinks, Related searches",commercial,Local pack
limo service in texas,1,1,30,54,1.80,https://www.primelimo.com/,7,0.08,12.00,0.62,3750000,"18, 63, 18, 18, 18, 18, 18, 18, 18, 18, 36, 36",2026-04-15,"Local pack, Sitelinks, Video, Image, Related searches",commercial,Local pack
limousine service in texas,1,1,30,39,1.80,https://www.primelimo.com/,7,0.08,12.00,0.62,8190000,"9, 52, 9, 9, 9, 9, 9, 9, 9, 9, 14, 9",2026-04-09,"Local pack, Video, Image, Related searches",commercial,Local pack
chauffeur dallas tx,1,1,30,19,2.28,https://www.primelimo.com/,7,0.08,15.00,0.86,514000,"9, 33, 19, 19, 9, 9, 9, 9, 9, 23, 14, 14",2026-04-10,"Local pack, Sitelinks, Video, Image, Related searches",commercial,Local pack
limo service dallas airport,1,1,30,54,4.91,https://www.primelimo.com/,7,0.08,34.00,0.23,1110000,"0, 0, 0, 0, 0, 14, 71, 71, 42, 100, 100, 100",2026-05-01,"Local pack, Sitelinks, Image, Ads bottom, Related searches, Discussions and forums",commercial,Local pack
plano limo service,1,1,30,,2.90,https://www.primelimo.com/,7,0.08,20.00,0.76,109,"11, 11, 11, 11, 11, 17, 17, 23, 23, 29, 11, 17",2026-05-01,"Local pack, Sitelinks, Video, Related searches",commercial,Local pack
best limousine services,1,1,30,34,2.94,https://www.primelimo.com/,7,0.08,20.00,0.24,219,"60, 60, 60, 60, 60, 20, 60, 40, 60, 100, 40, 40",2026-04-18,"Local pack, Video, Image, People also ask, Related searches, Discussions and forums",commercial,Local pack
limousine rental dallas tx,2,2,170,52,2.25,https://www.primelimo.com/,7,0.08,15.00,0.84,112,"29, 23, 100, 15, 19, 19, 23, 9, 19, 12, 5, 9",2026-05-19,"Local pack, Video, Related searches",commercial,Organic
car service dallas to dfw,7,7,320,26,4.99,https://www.primelimo.com/,7,0.08,34.00,0.73,36100000,"15, 36, 1, 54, 67, 54, 15, 15, 36, 29, 54, 44",2026-05-04,"Sitelinks, Video, Related searches, Discussions and forums, AI overview","commercial, informational",Organic
limo services in dallas,1,1,30,55,3.05,https://www.primelimo.com/,7,0.08,21.00,0.8,2010000,"0, 0, 2, 2, 2, 2, 3, 2, 1, 1, 1, 1",2026-05-08,"Local pack, Sitelinks, Video, Image, People also ask, Related searches",commercial,Local pack
luxury hotels dallas car service for guests,3,3,210,2,0.00,https://www.primelimo.com/,7,0.08,0.00,0,136,"100, 1, 1",2026-04-26,"Video, Hotels Pack, Related searches, AI overview",informational,Organic
limo service texas,1,1,30,51,1.80,https://www.primelimo.com/,7,0.08,12.00,0.62,115,"7, 26, 7, 7, 7, 7, 7, 7, 7, 7, 11, 15",2026-05-18,"Local pack, Sitelinks, Video",commercial,Local pack
best airport limo service,1,1,30,25,2.91,https://www.primelimo.com/,7,0.08,20.00,0.68,3660000000,"22, 22, 22, 22, 22, 22, 55, 55, 33, 22, 22, 22",2026-05-08,"Local pack, Video, People also ask, Related searches",commercial,Local pack
luxury transportation dallas,1,1,30,19,3.99,https://www.primelimo.com/,7,0.08,27.00,0.66,22500000,"28, 28, 28, 28, 28, 28, 57, 100, 42, 28, 28, 28",2026-05-06,"Local pack, Sitelinks, Video, Image, Related searches",commercial,Local pack
limo service irving tx,1,1,30,13,2.66,https://www.primelimo.com/,7,0.08,18.00,0.69,180000,"18, 18, 18, 18, 18, 27, 27, 36, 27, 27, 27, 27",2026-05-01,"Local pack, Sitelinks, Image, Related searches",commercial,Local pack
cheap limo service in dallas,1,1,50,52,2.08,https://www.primelimo.com/,6,0.07,12.00,0.75,2060000,"0, 3, 53, 34, 100, 0, 3, 0, 11, 0, 3, 0",2026-04-17,"Local pack, Sitelinks, Related searches, Discussions and forums",commercial,Organic
nicest limos,1,1,50,27,2.38,https://www.primelimo.com/,6,0.07,14.00,0.28,6320000,"14, 14, 28, 21, 14, 14, 14, 50, 100, 100, 78, 7",2026-05-08,"Local pack, Video, Image, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview",commercial,Local pack
limo service dfw metroplex,1,1,50,52,3.22,https://www.primelimo.com/,6,0.07,19.00,0.74,113,"35, 50, 21, 50, 50, 50, 35, 50, 50, 35, 35, 21",2026-05-26,"Local pack, Sitelinks, People also ask, Related searches",commercial,Local pack
executive car service dallas texas,1,1,50,20,3.15,https://www.primelimo.com/,6,0.07,18.00,0.73,98800000,"45, 45, 45, 100, 63, 45, 36, 45, 36, 18, 18, 18",2026-05-04,"Local pack, Sitelinks, Video, Related searches",commercial,Local pack
dallas airport limousine,1,1,50,44,0.00,https://www.primelimo.com/,6,0.07,0.00,0.09,110,"35, 50, 28, 35, 35, 50, 50, 64, 64, 50, 14, 50",2026-05-17,"Local pack, Sitelinks, Related searches",commercial,Local pack
limo dallas fort worth,1,1,110,55,3.40,https://www.primelimo.com/,6,0.07,20.00,0.6,1350000,"34, 34, 21, 65, 34, 28, 21, 28, 28, 34, 28, 34",2026-04-10,"Local pack, Sitelinks, Image, Related searches, AI overview",informational,AI overview
limo dallas,1,1,90,53,2.73,https://www.primelimo.com/,5,0.05,13.00,0.66,130,"35, 12, 53, 7, 10, 7, 23, 23, 43, 17, 12, 17",2026-04-07,"Local pack, Video, Image, Related searches",commercial,Organic
transportation services dallas tx,1,1,40,45,4.06,https://www.primelimo.com/,5,0.05,20.00,0.73,109000000,"11, 11, 15, 11, 15, 19, 15, 15, 11, 26, 26, 19",2026-05-12,"Local pack, Sitelinks, Video, Image, People also ask, Related searches, Discussions and forums",commercial,Local pack
limo in dallas,1,1,40,48,2.73,https://www.primelimo.com/,5,0.05,13.00,0.66,113,"9, 12, 21, 12, 9, 6, 28, 21, 15, 12, 6, 6",2026-04-29,"Sitelinks, Image, People also ask, Related searches, AI overview",commercial,Organic
dallas limo rental,1,1,90,39,2.25,https://www.primelimo.com/,5,0.05,11.00,0.84,1470000,"53, 34, 65, 34, 15, 19, 42, 42, 34, 34, 19, 42",2026-05-26,"Local pack, Sitelinks, Related searches",commercial,Organic
limos in dallas,1,1,90,53,2.73,https://www.primelimo.com/,5,0.05,13.00,0.66,110,"19, 26, 100, 65, 19, 15, 19, 26, 42, 26, 26, 42",2026-05-17,"Local pack, Sitelinks, Video, People also ask, Related searches",commercial,Organic
limo service to dfw,1,1,70,54,4.91,https://www.primelimo.com/,5,0.05,24.00,0.23,292000,"63, 63, 63, 45, 63, 45, 63, 45, 81, 45, 45, 45",2026-04-20,"Local pack, Sitelinks, Video, Image, Related searches",commercial,Local pack
town car service dallas,1,1,590,36,4.16,https://www.primelimo.com/,5,0.05,20.00,0.9,137000000,"13, 55, 100, 100, 45, 36, 10, 10, 30, 36, 36, 36",2026-04-13,"Local pack, Sitelinks, Image, Related searches, AI overview",informational,AI overview
limo ride dallas,1,1,90,39,3.05,https://www.primelimo.com/,5,0.05,15.00,0.8,1490000,"0, 0, 0, 88, 0, 1, 3, 3, 0, 2, 1, 1",2026-05-14,"Local pack, Sitelinks, Video, Image, People also ask, Related searches, Discussions and forums",commercial,Organic
car service fort worth tx,1,1,40,15,3.33,https://www.primelimo.com/,5,0.05,16.00,0.8,106000000,"11, 11, 17, 11, 11, 11, 23, 17, 23, 17, 52, 52",2026-04-22,"Local pack, People also ask, Related searches",commercial,Local pack
limousine service in fort worth,1,1,70,48,2.43,https://www.primelimo.com/,5,0.05,12.00,0.62,126,"63, 63, 81, 100, 45, 81, 63, 36, 63, 27, 18, 9",2026-05-24,"Local pack, Sitelinks, Related searches",commercial,Local pack
limo car rental,2,2,170,38,1.65,https://www.primelimo.com/,5,0.05,8.00,0.61,153,"53, 53, 82, 82, 43, 17, 66, 66, 43, 23, 23, 28",2026-05-22,"Local pack, Video, Ads bottom, People also ask, Related searches",commercial,Organic
best limo service dallas,1,1,30,58,3.13,https://www.primelimo.com/,5,0.05,15.00,0.82,110,"44, 22, 22, 22, 22, 11, 44, 44, 44, 22, 22, 33",2026-05-17,"Knowledge panel, Sitelinks, Video, People also ask, Related searches, Discussions and forums, AI overview",commercial,AI overview
limo dfw,1,1,70,54,3.40,https://www.primelimo.com/,5,0.05,17.00,0.6,108,"52, 100, 41, 41, 17, 17, 17, 17, 52, 23, 17, 41",2026-05-22,"Local pack, Sitelinks, Related searches",commercial,Local pack
limo rental fort worth texas,1,1,70,35,1.86,https://www.primelimo.com/,5,0.05,9.00,0.64,124,"28, 34, 21, 6, 21, 43, 15, 28, 15, 28, 15, 9",2026-05-15,"Local pack, Sitelinks, People also ask, Related searches",commercial,Local pack
transportation service in dallas,1,1,40,45,4.06,https://www.primelimo.com/,5,0.05,20.00,0.73,185000000,"44, 44, 55, 44, 55, 55, 55, 55, 44, 44, 22, 22",2026-04-25,"Local pack, Sitelinks, Video, People also ask, Related searches",commercial,Local pack
lemo car,1,1,70,37,0.86,https://www.primelimo.com/,5,0.05,4.00,0.06,222,"15, 9, 53, 15, 15, 9, 15, 12, 21, 21, 28, 43",2026-05-19,"Local pack, Image pack, Video, People also ask, Related searches, Short videos, Things to know, AI overview",informational,Local pack
dallas limousine service,1,1,90,52,3.05,https://www.primelimo.com/,5,0.05,15.00,0.8,2210000,"6, 53, 81, 6, 9, 9, 43, 43, 21, 6, 3, 34",2026-04-06,"Local pack, Sitelinks, Video, Image, Related searches",commercial,Organic
limousine dallas fort worth,3,3,140,53,3.40,https://www.primelimo.com/,4,0.04,13.00,0.6,1990000,"43, 81, 15, 34, 43, 43, 21, 28, 65, 43, 43, 34",2026-04-10,"Local pack, Sitelinks, Image, Related searches, AI overview",informational,Organic
limo dallas tx,1,1,70,30,2.73,https://www.primelimo.com/,4,0.04,10.00,0.66,108,"33, 23, 9, 23, 23, 23, 33, 33, 33, 33, 42, 42",2026-05-23,"Local pack, Sitelinks, People also ask, Related searches",commercial,Organic
shuttle service dallas,1,1,70,43,3.27,https://www.primelimo.com/,4,0.04,13.00,0.67,115,"41, 41, 29, 41, 29, 52, 52, 41, 29, 64, 41, 41",2026-04-17,"Local pack, Sitelinks, Video, Image, Related searches",commercial,Local pack
transportation companies dallas tx,1,1,50,33,7.67,https://www.primelimo.com/,4,0.04,30.00,0.82,105,"100, 14, 14, 14, 14, 14, 19, 19, 14, 14, 19, 19",2026-05-12,"Local pack, Sitelinks, Video, Image, People also ask, Related searches",commercial,Local pack
dallas limo service near me,1,1,70,57,0.00,https://www.primelimo.com/,4,0.04,0.00,0,1950000,100,2026-04-13,"Local pack, Sitelinks, Video, Related searches",transactional,Organic
car service dallas texas,1,1,70,39,4.16,https://www.primelimo.com/,4,0.04,16.00,0.9,122,"9, 81, 81, 81, 45, 27, 45, 63, 81, 100, 63, 81",2026-05-27,"Local pack, Video, Related searches",commercial,Organic
dallas limousine,3,3,140,45,2.73,https://www.primelimo.com/,4,0.04,10.00,0.66,7430000,"29, 12, 19, 23, 19, 12, 15, 15, 29, 15, 15, 36",2026-04-16,"Local pack, Sitelinks, Video, Image, People also ask, Related searches, Discussions and forums",commercial,Organic
dallas wedding limousine,2,2,50,9,0.00,https://www.primelimo.com/,4,0.04,0.00,0.79,1610000,"66, 52, 14, 14, 33, 14, 14, 9, 14, 9, 9, 14",2026-04-10,"Local pack, Video, Image, Related searches, Discussions and forums, AI overview",commercial,Organic
